id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
375799,Luxury apartment : London/Wimbledon,1889832,Glynis,,Kingston upon Thames,51.40295807352129,-0.2504358267647083,Entire home/apt,80,7,42,2015-07-11,1.05,1,318
2284438,Bright and comfy double room,11629266,Agata,,Kingston upon Thames,51.39546652813278,-0.30949158304769014,Private room,43,2,20,2015-08-19,1.06,1,337
4356007,Luxury victorian family homel,22611343,,,Kingston upon Thames,51.414745541053314,-0.28959428251578345,Entire home/apt,325,2,6,2015-08-18,1.24,1,276
7031432,Ground floor bedroom in Kingston,36862552,Andrew,,Kingston upon Thames,51.4283346905084,-0.30372124337110074,Private room,47,1,0,,,1,41
7208109,A Room with Private Shower,28650375,Hugh,,Kingston upon Thames,51.396160520617514,-0.24982143653402641,Private room,25,1,0,,,7,17
6003865,Double Room in Bright Period Flat,29230489,William,,Kingston upon Thames,51.407034040673345,-0.2966220313123599,Private room,40,1,0,,,1,335
4657702,Penthouse apartment with concierge,24105299,Simon,,Kingston upon Thames,51.409090225268386,-0.3081467472913171,Entire home/apt,75,5,0,,,1,256
2714787,Double/twin room & private lounge,13892353,Ruth,,Kingston upon Thames,51.42027101804105,-0.29001813942467897,Private room,45,2,64,2015-08-07,3.74,1,290
2476333,Garden Room,12665529,Eva,,Kingston upon Thames,51.42131461264942,-0.2995355657559878,Private room,25,7,7,2014-10-01,0.46,2,263
5483827,Sunny flat beckons for Easter break,28439533,Charlotte,,Kingston upon Thames,51.4062026997851,-0.2630976582244074,Entire home/apt,72,5,0,,,1,162
7458169,Twin room with en-suite,39060639,R,,Kingston upon Thames,51.39013067912048,-0.288376654838363,Private room,27,1,8,2015-08-31,8,1,242
1904917,"Kingston, PRIVATE Pretty Art Chalet",9888566,Lyndsay,,Kingston upon Thames,51.41587931437935,-0.2871678062975187,Entire home/apt,85,2,48,2015-07-22,2.71,1,357
5018677,"Thames  riverside cosy Apartment,KT",25890579,Rony,,Kingston upon Thames,51.41358691444717,-0.30759419806598176,Private room,48,2,5,2015-07-18,0.67,1,166
